time,x0y0,x1y0,x2y0,x3y0,x4y0,x5y0,x0y1,x1y1,x2y1,x3y1,x4y1,x5y1,x0y2,x1y2,x2y2,x3y2,x4y2,x5y2,x0y3,x1y3,x2y3,x3y3,x4y3,x5y3
1.566,27,5,0,80,14,2,10,5,0,82,16,2,5,6,0,80,16,2,70,8,14,83,22,5
1.582,27,5,0,81,14,2,10,5,0,81,16,2,5,6,0,80,16,2,70,8,14,83,22,5
1.599,27,5,0,81,14,2,10,5,0,81,16,2,5,7,0,81,16,2,69,8,13,82,21,4
1.615,27,5,0,82,15,2,11,5,0,80,15,1,5,7,0,82,16,2,68,8,13,81,21,4
1.632,27,4,0,82,15,2,11,5,0,79,15,1,5,6,0,82,16,2,66,7,12,81,20,3
1.65,27,3,0,83,15,2,12,5,0,79,15,1,5,6,0,82,16,2,65,7,11,80,20,3
1.665,28,3,0,82,15,2,12,5,0,79,15,1,6,6,0,82,16,2,63,7,11,80,19,3
1.684,28,2,0,82,15,2,13,5,0,80,15,1,6,6,0,82,16,2,61,7,10,81,19,3
1.698,28,2,0,82,15,2,13,5,0,80,15,1,6,6,0,81,16,2,60,7,10,81,19,3
1.715,28,2,0,81,15,2,13,5,0,81,15,1,7,5,0,80,16,2,59,7,9,82,19,3
1.733,28,2,0,80,15,2,13,5,0,82,15,1,7,5,0,80,16,2,58,7,9,83,19,3
1.748,28,2,0,80,15,2,14,5,0,82,16,2,7,6,0,80,16,2,57,7,9,83,19,3
1.766,29,2,0,80,15,2,14,5,0,83,16,2,7,6,0,80,16,2,57,7,9,83,20,4
1.782,29,2,0,80,15,2,14,5,0,82,16,2,8,6,0,80,16,2,57,7,9,83,20,4
1.797,29,2,0,81,15,2,14,5,0,82,16,2,8,6,0,80,16,2,57,7,9,83,19,4
1.815,29,2,0,81,15,2,14,5,0,81,16,2,8,6,0,81,16,2,57,7,9,82,19,4
1.832,29,3,0,82,15,2,14,5,0,80,16,2,8,6,0,81,16,2,57,7,9,81,19,4
1.848,29,3,0,83,15,2,14,5,0,79,16,2,7,6,0,82,16,2,57,7,9,81,19,4
1.867,29,3,0,83,16,2,14,5,0,79,16,2,7,6,0,82,16,2,57,7,9,80,19,3
1.883,29,3,0,83,16,2,14,5,0,79,16,2,7,6,0,82,16,2,58,7,9,80,19,3
1.899,29,2,0,83,15,2,14,5,0,80,16,2,7,6,0,82,16,2,58,7,9,80,19,3
1.916,29,2,0,82,15,2,14,5,0,81,16,2,7,6,0,81,16,2,59,8,10,81,19,3
1.934,28,2,0,81,15,2,14,5,0,82,16,2,7,6,0,81,16,2,59,8,10,82,19,3
1.95,28,2,0,81,15,2,14,5,0,82,16,2,7,6,0,80,16,2,59,8,10,83,19,3
1.965,28,2,0,80,15,2,14,5,0,83,16,2,7,6,0,80,16,2,59,8,10,83,19,3
1.983,28,2,0,80,15,2,14,5,0,83,16,2,7,6,0,79,16,2,59,7,9,83,20,4
1.998,29,2,0,80,15,2,14,5,0,82,16,2,7,6,0,80,16,2,59,7,9,84,20,4
2.014,29,2,0,80,15,2,14,5,0,82,16,2,7,6,0,80,16,2,59,7,9,83,20,4
2.031,29,3,0,81,15,2,14,5,0,81,16,2,7,6,0,80,16,2,59,7,9,82,20,4
2.051,29,3,0,82,15,2,14,5,0,80,16,2,7,7,0,81,16,2,59,7,9,82,20,4
2.065,29,3,0,82,16,2,14,5,0,80,17,3,8,7,0,82,16,2,59,8,9,81,20,4
2.084,28,4,0,83,16,2,14,5,0,80,18,3,8,8,0,83,17,2,61,8,10,81,21,4
2.099,28,4,0,83,16,2,13,6,0,80,18,3,7,7,0,83,17,2,62,8,11,81,21,4
2.117,28,4,0,82,16,2,13,6,0,80,18,3,6,7,0,83,17,3,64,8,12,81,21,5
2.132,27,4,0,82,15,2,12,6,0,80,17,3,5,7,0,82,16,2,65,9,12,81,21,5
2.15,26,4,0,81,15,2,11,6,0,81,17,3,5,7,0,82,16,2,67,8,13,82,21,5
2.166,26,4,0,80,14,2,11,5,0,81,16,2,4,6,0,81,15,1,68,8,13,82,21,5
2.184,25,4,0,79,14,1,10,5,0,81,16,2,4,6,0,80,15,1,69,8,13,82,21,5
2.199,25,5,0,79,13,1,10,5,0,82,15,1,3,6,0,79,15,1,69,8,13,83,21,5
2.217,25,5,0,79,14,1,10,5,0,82,15,1,3,6,0,79,15,1,69,8,13,84,21,5
2.233,25,5,0,79,14,1,10,5,0,83,15,1,3,6,0,79,15,1,69,8,13,83,22,5
2.25,26,5,0,80,14,2,10,5,0,82,15,2,3,6,0,79,15,1,69,8,13,83,22,5
2.267,26,5,0,80,14,2,10,5,0,82,15,2,4,7,0,80,16,2,69,8,14,82,22,6
